Index,Nombre1,Nombre2,Nombre3,Direccion1,Direccion2,Direccion3,Colonia,MunicipioDel,CP,EntreCalle1,EntreCalle2,Estado,NombComp
235,INNOVACION Y PROYECT,O DE LA INDUSTRIA DE,L ACERO  SA DE CV,13 DE SEPTIEMBRE,16,,CIUDAD COOPERATIVA C,TULA DE ALLENDE,42840,AV UNO,AV DOS,Hidalgo,INNOVACION Y PROYECTO DE LA INDUSTRIA DEL ACERO  SA DE CV
236,SALUD POR AGUA DE VI,TO#SA DE CV,,REFORMA,1,1,CENTRO JUNTO A BANCOMER,TLAXCOAPAN,42950,JARDIN,PALACIO MPAL,Hidalgo,SALUD POR AGUA DE VITO SA DE CV
237,PIROQUIM SA DE CV,,,SAUCERA,SN,,FRESNOS,TULTEPEC,54970,,,Estado de Mexico,PIROQUIM  SA DE CV
238,CONSTRUCTORA Y EDIFI,CADORA DE LA VIVIEND,A SA DE CV,MIGUEL HIDALGO,3301,,GUADALUPE,TAMPICO,89120,,,Tamaulipas,CONSTRUCTORA Y EDIFICADORA DE LA VIVIENDA  SA DE CV
239,FOMENTO DE CULTURA S,UPERIOR SA DE CV,,RAYON SUR,480,,MONTERREY CENTRO,MONTERREY,64000,XC,CX,Nuevo Leon,FOMENTO DE CULTURA SUPERIOR  SA DE CV
240,OPERADORA HOTELERA D,E COZUMEL SA DE CV,,CARRETERA A SAN JUAN KM,4,,ZONA HOTELERA NORTE,COZUMEL,77600,KM 4,KM 4,Quintana Roo,OPERADORA HOTELERA DE COZUMEL  SA DE CV
241,LABORATORIOS BIO SAL,UD SA DE CV,,COLLI,4805,,EL COLLI URBANO,ZAPOPAN,45070,UNO,DOS,Jalisco,LABORATORIOS BIO SALUD  SA DE CV
242,FARMACEUTICOS DE OCC,IDENTE#SA DE CV,,AVENIDA EL COLLI,4805,A,EL COLLI URBANO 2A SECCION,ZAPOPAN,45070,AV PATRIA,CALLE VOLCAN ETNA,Jalisco,FARMACEUTICOS DE OCCIDENTE SA DE CV
243,INGENIERIA Y MANUFAC,TURAS ARGOZ SA DE CV,,LAS PALMAS,298,,PARQUE INDUSTRIAL FI,RAMOS ARIZPE,25904,ABA,MAGUEYES,Coahuila,INGENIERIA Y MANUFACTURAS ARGOZ  SA DE CV
244,RECUBRIMIENTOS TEXTU,RIZADOS#SA DE CV,,ASOC NAL INDUSTRIA,32,,PARQUE INDUSTRIAL CU,CUAUTITLAN IZCALLI,54730,YHA,UHA,Estado de Mexico,RECUBRIMIENTOS TEXTURIZADOS SA DE CV
245,MONTAJES FRONTERA SA,DE CV,,CARRETERA 30 KM 10 2,1262,,FRACC SAN ANTONIO,FRONTERA,25810,CARRETERA 30,TERRENO RUSTICO,Coahuila,MONTAJES FRONTERA SA DE CV
246,FLOWSOFTWARE DE MEXI,CO SA DE CV,,AVE ADOLFO LOPEZ MATEOS,1002,LOC 218,RESIDENCIAL LAS QUIN,GUADALUPE,67167,BVLD LOS ALAMOS,CERRADA,Nuevo Leon,FLOWSOFTWARE DE MEXICO  SA DE CV
247,APR CARGO GROUP SA D,E CV,,25 SUR,3302,1ER PISO,BENITO JUAREZ,PUEBLA,72410,33 PONIENTE,35 PONIENTE,Puebla,APR CARGO GROUP  SA DE CV
248,CALL CENTER DE MEXIC,O#SA DE CV,,CORONA,100,,CERVECERA MODELO,NAUCALPAN DE JUAREZ,53330,BOSQUES,CALLE H,Estado de Mexico,CALL CENTER DE MEXICO SA DE CV
249,PROVEEDOR INDUSTRIAL,TECNICO#SA DE CV,,REYES CATOLICOS,2152,,JARDINES DE LA CRUZ,GUADALAJARA,44950,JARDINE,DE LA CRUZ,Jalisco,PROVEEDOR INDUSTRIALTECNICO SA DE CV
250,ABASTECEDORA LAMAC S,A DE CV,,A LAS PRADERAS,210,,PRADOS VALLARTA,ZAPOPAN,45020,DOS,UNO,Jalisco,ABASTECEDORA LAMAC  SA DE CV
251,G Y G IN PROGRESS SA,DE CV,,LOPEZ COTILLA,385,,SAN GASPAR DE LAS FLORES,TONALA,45408,,,Jalisco,G Y G IN PROGRESS SA DE CV
252,PET CIUDAD JUAREZ S,DE RL DE CV,,FULTON,851,,PARQUE INDUSTRIAL AN,JUAREZ,32470,UNO,DOS,Chihuahua,PET CIUDAD JUAREZ S DE RL DE CV
253,EQUIPOS Y CONEXIONES,INOXIDABLES DE JALI,SCO#SA DE CV,25 DE MAYO,2482,A,HOGARES DE NUEVO MEX,ZAPOPAN,45203,16 DE SEPTIEMBRE,PROL# 25 DE MAYO,Jalisco,EQUIPOS Y CONEXIONESINOXIDABLES DE JALI SCO SA DE CV
254,EQUIPOS REFACCIONES,Y CONTROLES DE OCCID,ENTE SA DE CV,ZENZONTLE,823,,OCHO DE JULIO 1A SEC,GUADALAJARA,44910,VERDIN,HUITLACOCHE,Jalisco,EQUIPOS REFACCIONES Y CONTROLES DE OCCIDENTE  SA DE CV
255,EMPRESA DIRECTA  SA,DE CV,,AVENIDA MEXICO,3370,10 C,MONRAZ,GUADALAJARA,44670,TEATRO DE LA REPUBLICA,AVENIDA HOMERO,Jalisco,EMPRESA DIRECTA  SA DE CV
256,LOS MANJARES DE LA M,IEL DULCERIA SA DE C,V,CARDENAL,5071,B,LAS JUNTAS,TLAQUEPAQUE,45590,AV GOBERNADOR CURIEL,MOJONERA,Jalisco,LOS MANJARES DE LA MIEL DULCERIA  SA DE CV
257,PROVEEDORA DE EMPACA,DORAS VAGO SA DE CV,,GENERAL ARTEAGA,27,A,ALCALDE BARRANQUITAS,GUADALAJARA,44270,PINO SUAREZ,BELEN,Jalisco,PROVEEDORA DE EMPACADORAS VAGO  SA DE CV
258,ZONA FERRETERA SA DE,CV,,PLUTARCO ELIAS CALLES,2066,,LOMAS DEL PARADERO,GUADALAJARA,44840,,,Jalisco,ZONA FERRETERA SA DE CV
259,EMPACADORA VALPAK BE,EF SA DE CV,,ARACELI SOUZA,5295,,PASEOS DEL SOL,ZAPOPAN,45079,COPERNICO,SANTA CATALINA,Jalisco,EMPACADORA VALPAK BEEF  SA DE CV
260,S G DIAGNOSTICA SA D,E CV,,LEOPOLDO PADILLA,5732,,PASEOS DEL SOL,ZAPOPAN,45079,JUAN ZURITA,MISMA,Jalisco,S G DIAGNOSTICA  SA DE CV
261,COMETAMEX SA DE CV,,,22 DE ABRIL,71,,EL MANTE,ZAPOPAN,45235,EMILIANO ZAPATA,FELIPE ANGELES,Jalisco,COMETAMEX  SA DE CV
262,ACEROS Y SISTEMAS HI,DRAULICOS DE MEXICO,SA DE CV,MATIAS ROMERO,1143,,SAN CARLOS,GUADALAJARA,44460,,,Jalisco,ACEROS Y SISTEMAS HIDRAULICOS DE MEXICO  SA DE CV
263,COORDINADORA EN TRAN,SPORTES Y SERVICIOS,LOGISTICOS SA DE CV,VALLE DEL DOMO,102,A,VALLE DORADO,LEON,37545,BAHIA AUSTRALIANA,VALLE DE IXTLE,Guanajuato,COORDINADORA EN TRANSPORTES Y SERVICIOS LOGISTICOS  SA DE CV
264,SERVICIO BARRA DE NA,VIDAD SA DE CV,,AV INDEPENDENCIA NAL,1200,,CENTRO,AUTLAN DE NAVARRO,48900,AV CARLOS SANTANA,LIB,Jalisco,SERVICIO BARRA DE NAVIDAD  SA DE CV
265,MAIVET VIAJES S.A. D,E C#V#,,GUADALUPE VICTORIA,214,,CENTRO,AUTLAN DE NAVARRO,48900,SANTOS DEGOLLADO,DONATO GUERRA,Jalisco,MAIVET VIAJES SA DE CV
266,HERCON MAQUINARIA SA,DE CV,,BLVD BERNARDO QUINTANA,299,B,VISTA HERMOSA,QUERETARO,76063,MONTE SINAI,CARR MEXICO CELAYA,Queretaro,HERCON MAQUINARIA SA DE CV
267,LABORATORIOS H D MOR,ELIA SA DE CV,,ANTIMONIO,536,,INDUSTRIAL,MORELIA,58130,,,Michoacan,LABORATORIOS H D MORELIA  SA DE CV
268,AGROPRODUCTOS ROMA S,A DE CV,,BLOCK C,01:00 a. m.,,LA RINCONADA,ZAMORA,59720,MEGA ABASTOS,MERCADO MEGABASTOS,Michoacan,AGROPRODUCTOS ROMA  SA DE CV
269,PUGILATOR DE MEXICO,SA DE CV,,JUAN ESCUTIA,11,A,NI#OS HEROES,URUAPAN,60070,MONTES DE OCA,JUAN DE LA BARRERA,Michoacan,PUGILATOR DE MEXICO  SA DE CV
270,SERVICIO AGRICOLA ME,CANICO# S#A# DE C#V#,,JUAN N LOPEZ,2,,LA MAGDALENA,URUAPAN,60080,PASEO LAZARO CARDENAS,MAZATLAN,Michoacan,SERVICIO AGRICOLA MECANICO  SA DE CV
271,SUPER FARMACIA CONST,ITUCION SA DE CV,,CONSTITUCION,53,,URUAPAN CENTRO,URUAPAN,60000,CONSTITUCION,,Michoacan,SUPER FARMACIA CONSTITUCION  SA DE CV
272,AGRICOLA LA BARCA SA,DE CV,,CARRETERA LA BARCA#JAMAY,KM 1#5,,LA BARCA CENTRO,LA BARCA,47910,LABORES,C R DAVID,Jalisco,AGRICOLA LA BARCA SA DE CV
273,MINERALES SAN RAFAEL,DE JALISCO S#A# DE,C#V#,KM 3 2 CARRETERA ZAPOTILTIC,SN,,ZAPOTILTIC CENTRO,ZAPOTILTIC,49600,ORQUIDEA,TULIPAN,Jalisco,MINERALES SAN RAFAELDE JALISCO  SA DE CV
274,MATERIALES PARA LA C,ONSTRUCCION ARMERIA,SA DE CV,NETZAHUALCOYOTL,205,,ARMERIA CENTRO,ARMERIA,28300,20 DE NOVIEMBRE,AMADO NERVO,Colima,MATERIALES PARA LA CONSTRUCCION ARMERIA  SA DE CV
275,ELECTRONICA SATURNO,DE COLIMA SA DE CV,,NIGROMANTE,138,,COLIMA CENTRO,COLIMA,28000,CALLE,CALLE,Colima,ELECTRONICA SATURNO DE COLIMA  SA DE CV
276,FARMA TODO PARA SU S,ALUD SA DE CV,,CALLE 17,8,,LAS AGUILAS,NEZAHUALCOYOTL,57900,AV TEXCCO,AV PANTITLAN,Estado de Mexico,FARMA TODO PARA SU SALUD  SA DE CV
277,TECNOCOMUNICACIONES,DIMA SA DE CV,,CARDIOLOGOS,274,,MAGDALENA ATLAZOLPA,IZTAPALAPA,9410,CALLE 8,CALLE 10,CDMX,TECNOCOMUNICACIONES DIMA  SA DE CV
278,IECEL SA DE CV,,,BOULEVARD CAMINO REAL DE CARRETAS,299 2,OFI 501,MILENIO III,QUERETARO,76060,SENDA ETERNA,SENDERO DEL SECRETO,Queretaro,IECEL  SA DE CV
279,FERRO AUTOMOTRIZ SA,DE CV,,CALZ MEXICO XOCHIMILCO,55,,EJIDOS DE HUIPULCO,TLALPAN,14370,X,XX,CDMX,FERRO AUTOMOTRIZ  SA DE CV
280,"ARGENTO DE TORREON,S",A DE CV,,CANELAS,415,,PARQUE IND LAGUNERO,GOMEZ PALACIO,35070,PIEDRAS NEGRAS,ACATITA DEL BAJAN,Durango,"ARGENTO DE TORREON, SA DE CV"
281,LIESE SA DE CV,,,TUNAL,713,,PINAR DEL RIO I,JUAREZ,32414,HERMANOS ESCOBAR,LAS PALMAS,Chihuahua,LIESE  SA DE CV
282,MONICA PRODUCE SA DE,CV,,INSURGENTES,16174,,LOS ALAMOS,TIJUANA,22110,,,Baja California,MONICA PRODUCE SA DE CV
283,POLIEMPAQUES FLEXIBL,ES SA DE CV,,ENTRONQUE CARRETERA PANAMERICANA,KM 1,,LAS TORRES,CORTAZAR,38309,,,Guanajuato,POLIEMPAQUES FLEXIBLES  SA DE CV
284,TACO CIROS SA DE CV,,,7 NORTE PONIENTE,150,,CENTRO,TUXTLA GUTIERREZ,29000,CALLE CENTRAL,CALLE 1A PTE,Chiapas,TACO CIROS  SA DE CV
285,TRADING & BUSINESS S,OLUTIONS MEXICO SA D,E CV,JOSE MARIA ROA BARCENAS,238,,VISTA ALEGRE,CUAUHTEMOC,6860,UNO,DOS,CDMX,TRADING & BUSINESS SOLUTIONS MEXICO  SA DE CV
286,RIGAYSI SA DE CV,,,AVENIDA ECLIPTICA,161,,MORELOS,GOMEZ PALACIO,35026,CALLE  DENBOLA,CALLE PRIMERA,Durango,RIGAYSI  SA DE CV
287,TANGERINC SA DE CV,,,ENSENADA,91,,HIPODROMO,CUAUHTEMOC,6100,DOS,TRES,CDMX,TANGERINC  SA DE CV
288,HOLISTICLIFE  SA DE,CV,,VALLARTA,4043,,DON BOSCO VALLARTA,ZAPOPAN,45049,NI#O OBRERO,DON BOSCO,Jalisco,HOLISTICLIFE  SA DE CV
289,VJ LA IDEA EN PUBLIC,IDAD SA DE CV,,CALLE 25,69,,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,3800,CALLE 23 A MEDIA CUADRA R,CALLE 27,CDMX,VJ LA IDEA EN PUBLICIDAD  SA DE CV
290,EK Y COMPA#IA GASTRO,NOMICA SA DE CV,,AV TAMAULIPAS,1068,6 Y 16,GARCIMARRERO,ALVARO OBREGON,1510,,,CDMX,EK Y COMPAIA GASTRONOMICA  SA DE CV
291,HERRAJES Y CERRADURA,S DECORATIVAS SA DE,CV,GONZALITOS NTE,312,2,VISTA HERMOSA,MONTERREY,64620,RUIZ CORTINES,LEONES,Nuevo Leon,HERRAJES Y CERRADURAS DECORATIVAS  SA DE CV
292,COMERCIALIZADOS SECS,A SA DE CV,,AVENIDA JUSTO SIERRA,33,,CAMARONEROS 1 Y 2,CARMEN,24169,AVENIDA PERIFERICA,CALLE 68,Campeche,COMERCIALIZADOS SECSA  SA DE CV
293,COMPANIA MEXICANA DE,LOCKERS SA DE CV,,ITZCOATL,24,1,ADOLFO RUIZ CORTINES,COYOACAN,4630,MUSEO,PEJUAME,CDMX,COMPANIA MEXICANA DELOCKERS  SA DE CV
294,INTEGRA ELEMENTS  SA,DE CV,,RET 701,34,,EL CENTINELA,COYOACAN,4450,UNO,DOS,CDMX,INTEGRA ELEMENTS SA DE CV
295,KOLGA S DE RL DE CV,,,65 749 MANZANA 9,749,,CUZAMIL,COZUMEL,77667,C 7,C 11,Quintana Roo,KOLGA S DE RL DE CV
296,V SILVA GLOBAL CONSU,LTING GROUP SA DE CV,,ARBOL DE EUCALIPTO,117,,ARBOLEDAS STA ELENA,PACHUCA DE SOTO,42086,AV SAN JAVIER,BLVD COLOSIO,Hidalgo,V SILVA GLOBAL CONSULTING GROUP  SA DE CV
297,CHOCOLATERA DE NAYAR,IT SA DE CV,,PROLONGACION 5 DE MAYO,253,C,SAN JUAN DE OCOTAN,ZAPOPAN,45019,UNO,DOS,Jalisco,CHOCOLATERA DE NAYARIT  SA DE CV
298,INGENIERIA MECANICA,DE PUEBLA#SA DE CV,,PROL 5 PONIENTE,4920,,REFORMA SUR,PUEBLA,72160,CALPAN,53 SUR,Puebla,INGENIERIA MECANICA DE PUEBLA SA DE CV
299,SERHCAM DE CHIAPAS S,A DE CV,,PERIFERICO NORTE PONIENTE,342,A,SAN FRANCISCO SABINAL,TUXTLA GUTIERREZ,29020,UNO,DOS,Chiapas,SERHCAM DE CHIAPAS  SA DE CV
300,JIEMS SA DE CV,,,BOULEVARD TRATADO DE LIBRE COM,57 B,,PARQUE INDUSTRIAL ST,APODACA,66600,UNO,DOS,Nuevo Leon,JIEMS  SA DE CV
301,ALFA GESTION EMPRESA,RIAL SA DE CV,,33 SUR,3512,N2 N3,EL VERGEL,PUEBLA,72400,CUMULO DE VIRGO,MUNICIPIO LIBRE,Puebla,ALFA GESTION EMPRESARIAL  SA DE CV
302,ASESORIA Y PROVEEDOR,A DE EQUIPOS PARA LA,BORATORIO#SA DE CV,AV MEXICO,2522,,LADRON DE GUEVARA,GUADALAJARA,44600,MARTIN CASILLAS,PABLO VIALLSENOR,Jalisco,ASESORIA Y PROVEEDORA DE EQUIPOS PARA LABORATORIO SA DE CV
303,PROVEEDORA DE OFICIN,AS LA ESFERA DE PUEB,LA S#A# DE C#V#,AVENIDA 23 PONIENTE,1104,B,SANTIAGO,PUEBLA,72410,13 SUR,11 SUR,Puebla,PROVEEDORA DE OFICINAS LA ESFERA DE PUEBLA  SA DE CV
304,COMERCIAL DE MUEBLES,MATA SA DE CV,,LIBRAMIENTO DEL#CHIH Y CARR A ROSETILLA,SN,,OBRERA,DELICIAS,33029,CAMPO DE AVIACION,GAS COMERCIAL,Chihuahua,COMERCIAL DE MUEBLESMATA  SA DE CV
305,"RMI DE MEXICO,SA DE",CV,,EJE 3 NTE AV CUITLAHUAC,1608,1,AGUILERA,AZCAPOTZALCO,2900,CALLE 8,CALLE 10,CDMX,"RMI DE MEXICO, SA DE CV"
306,GRUPO MHIBA PACK SA,DE CV,,AVE 20 DE NOVIEMBRE,MZ 9,LT 3,SAN PEDRO ATZOMPA,TECAMAC,55770,UNO,DOS,Estado de Mexico,GRUPO MHIBA PACK  SA DE CV
307,GOW SERVICES DE MEXI,CO SA DE CV,,NI#OS HEROES,903,,FELIPE CARRILLO PUER,CIUDAD MADERO,89430,CALLE 18 DE MARZO,CALLE PACHUCA,Tamaulipas,GOW SERVICES DE MEXICO  SA DE CV
308,GAS NATURAL TRES NAC,IONES#SA DE CV,,AV CARRETERA CENTRAL,10900,,LA RAZA,SOLEDAD DE GRACIANO SANCHEZ,78436,,,San Luis Potosi,GAS NATURAL TRES NACIONES SA DE CV
309,PESQUERA ARMATEL SA,DE CV,,RIO NILO,7,,LAS GAVIOTAS,MAZATLAN,82110,AV DE LAS GAVIOTAS,AV DE,Sinaloa,PESQUERA ARMATEL  SA DE CV
310,DAYNOC S DE RL DE CV,,,CARRETERA A TEPIC,5415A,6,DE LAS JUNTAS DELEGA,PUERTO VALLARTA,48291,AUN LADO  DE BANORTE,PLAZA LAS JUNTAS,Jalisco,DAYNOC S DE RL DE CV
311,INDUSTRIAL BATTAGONZ,A SA DE CV,,BAJA CALIFORNIA SUR,SN,,CHAMETLA,LA PAZ,23205,MARQUEZ DE LEON,SIN REFERENCIA,Baja California Sur,INDUSTRIAL BATTAGONZA  SA DE CV
312,ORDENADORAS DE MEXIC,O#SA DE CV,,GENERAL BARRAGAN,807,,CENTRO,AGUASCALIENTES,20000,CALLE,CALLE,Aguascalientes,ORDENADORAS DE MEXICO SA DE CV
313,ASP SOLUTIONS MEXICO,SA DE CV,,AV LUIS MENDEZ SMZ 2,MZ 3,LT 7,UNIDAD HABITACIONAL VICENTE GU,IZTAPALAPA,9200,1 DE ALEJO RICO,2 DE ALEJO RICO,CDMX,ASP SOLUTIONS MEXICO SA DE CV
314,COYOTE ING SA DE CV,,,PRIV DE VALLADOLID,198,,PROVIDENCIA,DURANGO,34176,VALLADOLID,PROVIDENCIA,Durango,COYOTE ING  SA DE CV
315,METAL MASTER INDUSTR,IAL SA DE CV,,CARRETERA NACOZARI MINA,KM 6,SIN NUME,LUIS DONALDO COLOSIO,NACOZARI DE GARCIA,84340,CARRETERA HERMOSILLO,AGUA PRIETA,Sonora,METAL MASTER INDUSTRIAL  SA DE CV
316,CINMSA SA DE CV,,,GALEANA,61,,SAN LORENZO ALMECATLA,CUAUTLANCINGO,72710,ALLENDE,SEPTIMA PRIV GALEANA,Puebla,CINMSA  SA DE CV
317,RENTA QUERETARO SA D,E CV,,LUIS M VEGA,7,,CIMATARIO,SANTIAGO DE QUERETARO,76030,CONSTITUYENTES,CIMATARIO,Queretaro,RENTA QUERETARO  SA DE CV
318,OPERADORA QUIMICA DE,L PACIFICO SA DE CV,,AVENIDA XEL HA MZ 3,LTE 2,204,SM 28,BENITO JUAREZ,77509,AV XEL HA,AV XEL HA,Quintana Roo,OPERADORA QUIMICA DEL PACIFICO  SA DE CV
319,ROCA OFFSHORE SA DE,CV,,CALLE 29 B,6,,CIUDAD DEL CARMEN CENTRO,CARMEN,24100,22,24,Campeche,ROCA OFFSHORE  SA DE CV
320,"SASA ELECTRIC,SA DE",CV,,DIEGO RAMON,432,,URDI#OLA,SALTILLO,25020,PEREZ TREVI#O,CASTELAR,Coahuila,"SASA ELECTRIC, SA DE CV"
321,FRAYMIN MANUFACTURIN,G  S DE RL DE CV,,LOS ANGELES,10,,CALIFORNIA,ARTEAGA,25350,UNO,DOS,Coahuila,FRAYMIN MANUFACTURING S DE RL DE CV
322,PROTECCION INTEGRAL,GREIZZ DE MEXICO SA,DE CV,HACIENDA TRES MARIAS,30,,STA ELENA,SAN MATEO ATENCO,52105,HDA CINEGUILLAS,HDA DE LOS PADRES,Estado de Mexico,PROTECCION INTEGRAL GREIZZ DE MEXICO  SA DE CV
323,EQUIPOS Y SERVICIOS,SONORA GAS SA DE CV,,ARIZONA,338,,BALDERRAMA,HERMOSILLO,83180,ESQ,RAFAELA RODRIGUEZ,Sonora,EQUIPOS Y SERVICIOS SONORA GAS  SA DE CV
324,TERMIAGRO SA DE CV,,,SONORA,100,,PETROLERA,COATZACOALCOS,96500,MEXICO,URSULO GALVAN,Veracruz,TERMIAGRO  SA DE CV
325,AZUL NATURAL SA DE C,V,,CONSTITUCION,454,,VICTORIA DE DURANGO CENTRO,DURANGO,34000,PEREYRA,GOMEZ PALACIO,Durango,AZUL NATURAL  SA DE CV
326,AZTECA MULTIPARKING,# LIFT SA DE CV,,AV INSURGENTES NTE,696,,SANTA MARIA INSURGEN,CUAUHTEMOC,6430,TILOS,AZHARES,CDMX,AZTECA MULTIPARKING LIFT  SA DE CV
327,CRC MAQUINARIA Y EQU,IPO SA DE CV,,SAN RAFAEL,1545,,LONGORIA,REYNOSA,88690,CUCHILLA,DOS,Tamaulipas,CRC MAQUINARIA Y EQUIPO  SA DE CV
328,CONSTRUCCIONES ELECT,RICAS DE COMITAN RB,SA DE CV,CARR A TZIMOL,13,,CHICHIMA GUADALUPE,COMITAN DE DOMINGUEZ,30093,PRIMERA,SEGUNDA,Chiapas,CONSTRUCCIONES ELECTRICAS DE COMITAN RB  SA DE CV
329,ADMINISTRACION DE PR,OPIEDADES EN CANCUN,SA DE CV,CARR CANCUN APTO KM 15,LOC 2,,ALFREDO V BONFIL,BENITO JUAREZ,77560,AVE,AVE,Quintana Roo,ADMINISTRACION DE PROPIEDADES EN CANCUN  SA DE CV
330,COULISSE PERSIANAS S,A DE CV,,MANUEL SOTERO PRIETO,5,D,CIUDAD SATELITE,NAUCALPAN,53100,UNIOS,OSDNMA,Estado de Mexico,COULISSE PERSIANAS  SA DE CV
331,CERCAMEX SA DE CV,,,CARR TAMPICO MANTE,909,,NUEVO PROGRESO,TAMPICO,89318,FCO VILLA,ALVARO OBREGON,Tamaulipas,CERCAMEX  SA DE CV
332,VALREP SA DE CV,,,BANOS DE AGUACALIENTE,3250,B,20 DE NOVIEMBRE,TIJUANA,22100,VIA RAPIDA PONIENTE,CJON JUVENTINO ROSAS,Baja California,VALREP  SA DE CV
333,GRUPO RHJ DE LA LAGU,NA SA DE CV,,AV JUAREZ PTE,1010,B,TORREON CENTRO,TORREON,27000,ACUNA,RODRIGUEZ,Coahuila,GRUPO RHJ DE LA LAGUNA  SA DE CV
334,QRO LIMPIO SA DE CV,,,NIEVE,331,,SATELITE,SANTIAGO DE QUERETARO,76110,AV DE LA PIEDRA,AV DE LAS FUENTES,Queretaro,QRO LIMPIO  SA DE CV
335,H3 COMERCIALIZADORA,Y PROVEEDORA DE SERV,ICIOS SA DE CV,JAIME REYNES ESCALANTE,204,B,MARCOS BUENDIA,CENTRO,86190,X,X,Tabasco,H3 COMERCIALIZADORA Y PROVEEDORA DE SERVICIOS  SA DE CV
336,TUNA FASHION SA DE C,V,,CUBILETE,201,########,REAL PROVIDENCIA,LEON,37234,UNO,DOS,Guanajuato,TUNA FASHION  SA DE CV
337,TELESAT TELECOMUNICA,CIONES Y SEGURIDAD S,A DE CV,CALLE 34,164,,CIUDAD DEL CARMEN CENTRO,CARMEN,24100,CALLE 31,CALLE 33,Campeche,TELESAT TELECOMUNICACIONES Y SEGURIDAD  SA DE CV
338,QUIMI AXS SA DE CV,,,AV DIVISION DEL NORTE,3454,PB DESP2,XOTEPINGO,COYOACAN,4610,CANARIAS,FILIPINAS,CDMX,QUIMI AXS  SA DE CV
339,INGENIERIA PUBLICITA,RIA DE GUERRERO SA D,E CV,PRIV DE ZAPATA,1,,IGUALA DE LA INDEPENDENCIA CEN,IGUALA DE LA INDEPENDENCIA,40000,ZAPATA,GUERRERO,Guerrero,INGENIERIA PUBLICITARIA DE GUERRERO  SA DE CV
340,PROA ARRENDADORA SA,DE CV,,CALLE MARIANO ESCOBEDO,240,,LOS ALTOS,SAN PEDRO TLAQUEPAQUE,45520,CALLE 1,CALLE 2,Jalisco,PROA ARRENDADORA  SA DE CV
341,SERVICIOS DE INGENIE,RIA MANTENIMIENTO Y,RESTAURACION SA DECV,AV FUENTE DE CHAPULTEPEC,191,D,FUENTES DEL VALLE,TULTITLAN,54910,CERES,BELLA,Estado de Mexico,SERVICIOS DE INGENIERIA MANTENIMIENTO Y RESTAURACION SA DE CV
342,"INGENIERIA,SANEAMIEN",TO YCONSTRUCCION ISC,O SA DE CV,GUSTAVO DIAZ ORDAZ,18,PSO 2,SAN JUAN,TULTITLAN,54900,CATEDRAL,PRINCIAL,Estado de Mexico,"INGENIERIA,SANEAMIENTO YCONSTRUCCION ISCO  SA DE CV"
343,CEBOLLAS SELECTAS RS,M SA DE CV,,BOULEVARD FEDERICO BENITEZ,7029,B,LA CIENEGA,TIJUANA,22660,MEXICO,DELANTE,Baja California,CEBOLLAS SELECTAS RSM  SA DE CV
344,EDALSI COMERCIAL SA,DE CV,,IGNACIO MANUEL BONILLA,500,11,JORGE ALMADA,CULIACAN,80200,JOSE AGUILAR BARRAZA,JUAN JOSE RIOS,Sinaloa,EDALSI COMERCIAL  SA DE CV
345,JUANMAGAGO SA DE CV,,,PROLONGACION BENITO JUAREZ,1339,,GRANJAS DEL MAESTRO,MORELIA,58110,GRANJAS,DEL MAESTRO,Michoacan,JUANMAGAGO  SA DE CV
346,COMERCIALIZADORA DE,PRODUCTOS PARA EL AG,UA SA DE CV,AVENIDA XEL HA 204 EDIFICIO TORRES CANCUN,LOC 1,,SMZ 28,BENITO JUAREZ,77509,,,Quintana Roo,COMERCIALIZADORA DE PRODUCTOS PARA EL AGUA  SA DE CV
347,COMUNICACIONES SANRO,SA DE CV,,JOSE AZUETA,21,MZA 021,JOSE CARDEL CENTRO,LA ANTIGUA,91680,FLORES MAGON,FERRER GUARDIA,Veracruz,COMUNICACIONES SANRO SA DE CV
348,"RODAMIENTOS SAMPER,S",A DE CV,,CARRET LAGO DE GUADALUPE,6,,SAN MATEO TECOLOAPAN,ATIZAPAN DE ZARAGOZA,52920,MIGUEL BRAVO,LAGO DE GUADALUPE,Estado de Mexico,"RODAMIENTOS SAMPER, SA DE CV"
349,CONSTRUCCIONES DCSC,SA DE CV,,FRANCISCO J SANTA MARIA,214,,MACUSPANA,MACUSPANA,86700,MACUSPANA,MACUSPANA,Tabasco,CONSTRUCCIONES DCSC  SA DE CV
350,LEGAL SYSTEMS SA DE,CV,,ESPINOZA OTE,841,841,MONTERREY CENTRO,MONTERREY,64000,,,Nuevo Leon,LEGAL SYSTEMS  SA DE CV
351,DOMINION INDUSTRIAL,SA DE CV,,REVILLAGIGEDO,37 H,,CENTRO DE LA CD DE M,CUAUHTEMOC,6050,OCHO,DE MONTE,CDMX,DOMINION INDUSTRIAL  SA DE CV
352,CONSTRUCCIONES Y PRO,YECTOS LOS ALAMOS SA,DE CV,ALAMO PLATEADO,1,PSO 2,LOS ALAMOS,NAUCALPAN DE JUAREZ,53230,AV LOMAS VERDES,AV LOPEZ MATEOS,Estado de Mexico,CONSTRUCCIONES Y PROYECTOS LOS ALAMOS SA DE CV
353,"AUTOELECTRICA H C,SA",DE CV,,CALZADA DE TLALPAN,5030,,LA JOYA,TLALPAN,14090,TEZOQUIPA,INSURGENTES,CDMX,"AUTOELECTRICA H C, SA DE CV"
